state,date,sex,age,ethnicity,population
Johor,1/1/1970,both,overall,overall,1325.6
Johor,1/1/1976,both,overall,overall,1508.4
Johor,1/1/1979,both,overall,overall,1606.4
Johor,1/1/1984,both,overall,overall,1825.8
Johor,1/1/1987,both,overall,overall,1977.9
Johor,1/1/1989,both,overall,overall,2085.5
Johor,1/1/1992,both,overall,overall,2249.1
Johor,1/1/1995,both,overall,overall,2441.4
Johor,1/1/1997,both,overall,overall,2567.5
Johor,1/1/1999,both,overall,overall,2699.4
Johor,1/1/2002,both,overall,overall,2893.6
Johor,1/1/2004,both,overall,overall,3014.6
Johor,1/1/2007,both,overall,overall,3193.5
Johor,1/1/2009,both,overall,overall,3309.4
Johor,1/1/2012,both,overall,overall,3450.4
Johor,1/1/2014,both,overall,overall,3559.8
Johor,1/1/2016,both,overall,overall,3651.8
Johor,1/1/2019,both,overall,overall,3761.2
Johor,1/1/2020,both,overall,overall,4009.7
Johor,1/1/2022,both,overall,overall,4028.3
Kedah,1/1/1970,both,overall,overall,989.5
Kedah,1/1/1976,both,overall,overall,1065.4
Kedah,1/1/1979,both,overall,overall,1103.4
Kedah,1/1/1984,both,overall,overall,1206.1
Kedah,1/1/1987,both,overall,overall,1281.1
Kedah,1/1/1989,both,overall,overall,1328.8
Kedah,1/1/1992,both,overall,overall,1402.1
Kedah,1/1/1995,both,overall,overall,1500.2
Kedah,1/1/1997,both,overall,overall,1566.9
Kedah,1/1/1999,both,overall,overall,1636.5
Kedah,1/1/2002,both,overall,overall,1734.8
Kedah,1/1/2004,both,overall,overall,1792.4
Kedah,1/1/2007,both,overall,overall,1874.2
Kedah,1/1/2009,both,overall,overall,1925.3
Kedah,1/1/2012,both,overall,overall,2001.1
Kedah,1/1/2014,both,overall,overall,2062.7
Kedah,1/1/2016,both,overall,overall,2119.7
Kedah,1/1/2019,both,overall,overall,2173.7
Kedah,1/1/2020,both,overall,overall,2131.4
Kedah,1/1/2022,both,overall,overall,2163.1
Kelantan,1/1/1970,both,overall,overall,707.3
Kelantan,1/1/1976,both,overall,overall,814.1
Kelantan,1/1/1979,both,overall,overall,873.7
Kelantan,1/1/1984,both,overall,overall,1002.6
Kelantan,1/1/1987,both,overall,overall,1093.2
Kelantan,1/1/1989,both,overall,overall,1154.5
Kelantan,1/1/1992,both,overall,overall,1243.5
Kelantan,1/1/1995,both,overall,overall,1287.7
Kelantan,1/1/1997,both,overall,overall,1314.4
Kelantan,1/1/1999,both,overall,overall,1344.7
Kelantan,1/1/2002,both,overall,overall,1416.7
Kelantan,1/1/2004,both,overall,overall,1463.8
Kelantan,1/1/2007,both,overall,overall,1529.1
Kelantan,1/1/2009,both,overall,overall,1570
Kelantan,1/1/2012,both,overall,overall,1651
Kelantan,1/1/2014,both,overall,overall,1723.4
Kelantan,1/1/2016,both,overall,overall,1796.7
Kelantan,1/1/2019,both,overall,overall,1883.8
